PROVINCE,NAME_1,NAME_2,mean,median,stdDev,p10,p25,p75,p90,count
Aceh,Aceh,Aceh Barat,64.58659977702854,69.75235389314257,30.842402111431177,15.740159974169375,44.25584358031979,93.25639009144241,99.99999999999999,44328
Aceh,Aceh,Aceh Barat Daya,62.808133454422546,70.23077934479045,33.44272921432884,3.231260575403693,38.2538434390364,94.23513690103532,100.00000000000003,27910
Aceh,Aceh,Aceh Besar,64.79981105744348,69.25941805049354,30.05533486881957,20.081692560841294,44.25739490843546,92.74046127029399,100.00000000000001,42889
Aceh,Aceh,Aceh Jaya,61.46876458267088,64.76867012271165,30.72671621362467,15.757365381969947,38.74678986057585,90.23599381645893,99.96715562135017,52082
Aceh,Aceh,Aceh Selatan,61.56927497619465,67.24229132011043,32.655642233528546,9.238026844866722,35.75194567054524,92.25549947490904,100.00000000000003,49166
Aceh,Aceh,Aceh Singkil,55.99118645820967,60.04145273317758,37.010851743982215,0.006401157834158334,21.19582144146039,95.79309556740196,100.0,5759
Aceh,Aceh,Aceh Tamiang,46.59064521323218,45.733455964506085,32.28774605893205,0.7613809144742791,18.74552561401379,73.7333379560713,96.23772601068396,30698
Aceh,Aceh,Aceh Tengah,66.93621325617329,73.26065849934174,30.648628195270394,20.082127921582817,47.241719003907335,96.74514324753991,99.99999999999997,72004
Aceh,Aceh,Aceh Tenggara,60.61453096252548,65.74748124764425,33.7758363231298,4.750298862230461,34.23991783921031,94.25696757135871,100.0,49858
Aceh,Aceh,Aceh Timur,61.57928937791335,68.25485927672086,32.69765985550463,5.255022405888623,37.24950021984217,91.2484730517074,99.92929320742385,77886
Aceh,Aceh,Aceh Utara,65.45031767751303,71.25399016530368,29.88159989721637,20.104464755550453,43.76963511019314,93.24824120025667,100.00000000000001,34869
Aceh,Aceh,Bener Meriah,51.138700586166564,50.02181366258865,34.6776070112519,0.009648311427252492,20.08477489598592,81.74188759669717,99.97783890765511,23482
Aceh,Aceh,Bireuen,69.31778814676589,77.74819757222434,32.265208262208155,16.765599450165368,49.74982053796374,100.00000000000001,100.00000000000001,15932
Aceh,Aceh,Gayo Lues,54.53360813198489,60.16266356410998,36.592601662306755,0.008330210597031273,18.734333757488084,90.25058871253088,99.99999999999999,74366
Aceh,Aceh,Nagan Raya,61.337512066185184,66.69043156270037,31.598935927314763,12.244766802914729,36.766742576059514,90.75958655319846,99.99999999999999,53134
Aceh,Aceh,Pidie,77.35806761818,85.25557100747116,24.89574058680151,40.15263910363805,63.721111053022724,99.8584322246334,100.00000000000001,45267
Aceh,Aceh,Pidie Jaya,71.7396861588279,79.77150530379087,29.203151880509754,25.066112005471275,52.80721665136446,99.93784414490935,100.00000000000003,12868
Aceh,Aceh,Simeulue,77.19485654157597,87.73130039568795,27.357539694214406,35.321144612630206,62.235346519268234,100.00000000000004,100.00000000000004,12524
Aceh,Aceh,Banda Aceh,66.67370604439556,72.2567461884278,31.89437046907229,12.313302040100098,47.68224861712142,99.76009073040703,100.00000000000001,900
Aceh,Aceh,Langsa,57.16309103105591,60.180647326812085,31.218606512234313,7.710982163747151,33.2641599459771,83.27813489295492,99.72596412234836,3170
Aceh,Aceh,Lhokseumawe,53.91485836692567,53.206561771756576,31.105503223798124,11.784413443671333,28.17376164027623,80.04737775609772,99.99999999999997,2213
Aceh,Aceh,Sabang,79.35939171981505,86.74636860531328,22.378081024940673,49.22388553619385,69.81292037963867,95.74080799463337,100.00000000000001,2145
Aceh,Aceh,Subulussalam,54.21069189510184,58.23579796854655,26.968181774307975,13.334414787526512,35.278337171837684,74.23284282584035,87.67562223709814,4207
