fase,flood_pixels,pixel_area_m2,luas_m2,luas_km2,res_x,res_y
fase1,29091,9933.746805606654,288982628.32190317,288.9826283219032,99.66818351714178,99.66818351714178
fase2,91219,9933.746805606654,906146449.8606334,906.1464498606334,99.66818351714178,99.66818351714178
fase3,38034,9933.746805606654,377820126.00444347,377.82012600444347,99.66818351714178,99.66818351714178
fase4,44945,9933.746805606654,446472250.17799103,446.47225017799104,99.66818351714178,99.66818351714178
