Tanggal,Curah_Hujan_mm
2025-11-05,5.504011294025642
2025-11-06,6.675089398768125
2025-11-07,5.726233152106786
2025-11-08,2.2672271708563816
2025-11-09,12.091986374151213
2025-11-10,14.878051237502877
2025-11-11,6.8082719683649495
2025-11-12,9.799810246087832
2025-11-13,9.299853367779065
2025-11-14,7.025197344604405
2025-11-15,9.08441289192944
2025-11-16,12.401636166098434
2025-11-17,15.592621135374213
2025-11-18,16.68422922897507
2025-11-19,15.526919969498
2025-11-20,13.172895779277141
2025-11-21,20.868252734661095
2025-11-22,21.806315113398032
2025-11-23,18.14868004531289
2025-11-24,36.94041847887483
2025-11-25,32.567373388482814
2025-11-26,37.81255353640762
2025-11-27,48.49736791358672
2025-11-28,4.915471285482417
2025-11-29,3.861242196442953
2025-11-30,2.552809384210651
2025-12-01,3.929859612827728
2025-12-02,6.139375656660421
2025-12-03,1.7698181658324952
2025-12-04,4.856333499908468
2025-12-05,14.155464516751366
2025-12-06,15.530872349601573
2025-12-07,18.288291835584623
2025-12-08,8.635657071140848
2025-12-09,10.402085532936232
2025-12-10,13.777878125093258
2025-12-11,7.189725892494168
2025-12-12,22.199877988113325
2025-12-13,17.431780694405095
2025-12-14,21.657303080801306
2025-12-15,10.71646905609467
2025-12-16,10.737202804315976
2025-12-17,8.268328572903814
2025-12-18,4.189830242652543
2025-12-19,4.369664694794124
2025-12-20,5.648564337559118
2025-12-21,4.851306830962267
2025-12-22,1.3946016760586677
2025-12-23,1.7218913358275034
2025-12-24,7.1196590415062015
2025-12-25,22.8571157138588
2025-12-26,15.446381458929757
2025-12-27,25.674851820566737
2025-12-28,22.77797037422237
2025-12-29,7.364010233191672
2025-12-30,16.20863705880576
2025-12-31,15.991198872968518
2026-01-01,12.899732820561393
2026-01-02,34.08833806949964
2026-01-03,0.0
2026-01-04,0.713256903575083
2026-01-05,1.6797248200769646
2026-01-06,16.293485039620048
2026-01-07,22.02707950334586
2026-01-08,23.988542580438796
2026-01-09,9.280445782952356
2026-01-10,4.302207014606258
2026-01-11,2.404239046316999
2026-01-12,5.038691585026697
2026-01-13,0.9084583159294879
2026-01-14,7.0762853701743404
2026-01-15,4.204979214448699
2026-01-16,2.5617567126062872
2026-01-17,1.4152115901528843
2026-01-18,1.4779336016316165
2026-01-19,9.399546068481913
2026-01-20,3.0197955471072353
2026-01-21,6.876190367508743
2026-01-22,0.11104835091111587
2026-01-23,0.5664786984255
2026-01-24,0.0015826078436766487
2026-01-25,0.02505624406498726
2026-01-26,0.0
2026-01-27,0.21395404045855496
