Tanggal,Curah_Hujan_mm
2025-11-05,11.611317013470845
2025-11-06,4.956152550539673
2025-11-07,3.7754398380835963
2025-11-08,4.530707902897793
2025-11-09,4.758620235359591
2025-11-10,12.079636384659517
2025-11-11,12.40320558137337
2025-11-12,6.494476388304973
2025-11-13,3.7721300115145087
2025-11-14,9.53607795942936
2025-11-15,9.992858817367384
2025-11-16,19.88281693888201
2025-11-17,16.35946348323339
2025-11-18,6.5315402440931365
2025-11-19,21.164250371291033
2025-11-20,14.455480985822946
2025-11-21,20.90359870789783
2025-11-22,5.123878822444143
2025-11-23,16.11182478288561
2025-11-24,16.761373049421906
2025-11-25,40.10472672573509
2025-11-26,10.821610141247634
2025-11-27,36.029033681830086
2025-11-28,34.26542073139299
2025-11-29,9.837761376932937
2025-11-30,4.986151739784978
2025-12-01,14.3790631280526
2025-12-02,5.477961191368098
2025-12-03,9.22669657659975
2025-12-04,5.364018684334058
2025-12-05,13.281779566122431
2025-12-06,10.627082574809771
2025-12-07,43.41756802141343
2025-12-08,22.326622395528346
2025-12-09,18.595112003900372
2025-12-10,22.655104481675906
2025-12-11,9.96372376343744
2025-12-12,30.421243652008638
2025-12-13,25.500973536731575
2025-12-14,28.484045140308424
2025-12-15,11.129869738102569
2025-12-16,12.794135169091483
2025-12-17,5.481285799943115
2025-12-18,2.6973202099392335
2025-12-19,5.584195413592348
2025-12-20,13.017611652366929
2025-12-21,3.5446394502184035
2025-12-22,3.410167922494409
2025-12-23,10.036951796045779
2025-12-24,15.489206776131581
2025-12-25,29.47654550187506
2025-12-26,6.136807966561213
2025-12-27,24.75262878981876
2025-12-28,20.968485787042333
2025-12-29,10.396311905734473
2025-12-30,20.888043544523292
2025-12-31,23.325441424676455
2026-01-01,39.506870291086074
2026-01-02,68.40968646930688
2026-01-03,0.9564256801395425
2026-01-04,1.338059168215748
2026-01-05,0.03432983040606193
2026-01-06,1.6791734145694956
2026-01-07,19.069777064250868
2026-01-08,34.710973701626656
2026-01-09,7.397447534893144
2026-01-10,11.667336766996186
2026-01-11,9.016553836708496
2026-01-12,6.315698053982783
2026-01-13,5.568103300256452
2026-01-14,3.463799416962645
2026-01-15,17.283897727144165
2026-01-16,4.474456485422048
2026-01-17,8.492579878912936
2026-01-18,0.46522877617983016
2026-01-19,6.818141249826958
2026-01-20,3.0668218549253057
2026-01-21,1.7989021979014115
2026-01-22,1.057481149464567
2026-01-23,2.916501656716634
2026-01-24,0.28356480493072467
2026-01-25,0.0
2026-01-26,1.1034263701501197
2026-01-27,1.5583114573133265
